make_clean,modelo_base,segmento
SMART,CITYCOUPE,A
SMART,CROSSBLADE,A
SMART,FORFOUR,A
SMART,FORTWO,A
SMART,ROADSTER,S
SPARTA,C-GRID ULTRA,BICI
SPARTA,D-BURST,BICI
SPARTA,SPARTA,BICI
SPECIALIZED,TERO X,BICI
SPECIALIZED,TURBO VADO,BICI
SPECIALIZED,VADO,BICI
SSANGYONG,ACTYON,JD
SSANGYONG,FAMILY,M
SSANGYONG,K4D,JC
SSANGYONG,KORANDO,JC
SSANGYONG,KYRON,JD
SSANGYONG,MUSSO,M
SSANGYONG,REXTON,JE
SSANGYONG,REXTON II,JE
SSANGYONG,RODIUS,JE
SSANGYONG,TIVOLI,JC
SSANGYONG,XLV,M
STELLA,DOLCE,BICI
STELLA,FORTE,BICI
STELLA,LIVORNO,BICI
STELLA,STELLA,BICI
STELLA,VICENZA,BICI
STEVENS,E-TRITON,BICI
STREETSCOOTER,KLRG,MOTO
STREETSCOOTER,WORK,BICI
STROMER,ST3,BICI
SUBARU,1800,C
SUBARU,B9 TRIBECA,C
SUBARU,BRZ,S
SUBARU,FORESTER,JC
SUBARU,G3X JUSTY,D
SUBARU,IMPREZA,C
SUBARU,JUSTY,B
SUBARU,LEGACY,D
SUBARU,LEVORG,M
SUBARU,OUTBACK,JC
SUBARU,SOLTERRA,JD
SUBARU,SVX,S
SUBARU,TREZIA,M
SUBARU,TRIBECA,JD
SUBARU,WRX STI,D
SUBARU,XT,S
SUBARU,XV,JC
SUNRIDER,E-CARGO BIKE SR1,BICI
SUZUKI,ACROSS,JD
SUZUKI,ALTO,A
SUZUKI,BALENO,B
SUZUKI,CELERIO,A
SUZUKI,CHOPPER,MOTO
SUZUKI,GRAND VITARA,JC
SUZUKI,GSX,MOTO
SUZUKI,GSX S1000,MOTO
SUZUKI,IGNIS,A
SUZUKI,INAZUMA 250,MOTO
SUZUKI,JIMNY,JC
SUZUKI,KIZASHI,D
SUZUKI,LIANA,C
SUZUKI,MARUTI,C
SUZUKI,S-CROSS,JC
SUZUKI,SAMURAI,JC
SUZUKI,SPLASH,A
SUZUKI,SWACE,C
SUZUKI,SWIFT,B
SUZUKI,SX4,C
SUZUKI,VITARA,JC
SUZUKI,VS 800 INTRUDER,MOTO
SUZUKI,WAGON R,A
SWM,G01,JD
SYM,FIDDLE III,MOTO
SYM,SYMPHONY,MOTO
SYM,X-PRO,MOTO
TALBOT,HORIZON,C
TALBOT,SAMBA,B
TALBOT,SOLARA,D
TALBOT,TAGORA,E
TATA,ARIA,JC
TATA,GRAND SAFARI,JE
TATA,INDICA,A
TATA,INDIGO,A
TATA,SAFARI,JD
TATA,SUMO,JC
TATA,TL PICK UP,M
TATA,VISTA,B
TATA,XENON,M
TENWAYS,AGO T,BICI
TENWAYS,CGO009,BICI
TENWAYS,CGO800S,BICI
TESLA,MODEL 3,D
TESLA,MODEL S,E
TESLA,MODEL X,JE
TESLA,MODEL Y,JD
TOYOTA,4RUNNER,JD
TOYOTA,HIGHLANDER,JD
TOYOTA,AURIS,C
TOYOTA,AVENSIS,D
TOYOTA,AVENSIS VERSO,D
TOYOTA,AYGO,A
TOYOTA,BZ4X,JC
TOYOTA,C-HR,JC
TOYOTA,CAMRY,D
TOYOTA,CARINA E,D
TOYOTA,CELICA,S
TOYOTA,COROLLA,C
TOYOTA,DYNA,M
TOYOTA,GT-86,S
TOYOTA,HILUX,M
TOYOTA,IQ,A
TOYOTA,LAND CRUISER,JE
TOYOTA,LAND CRUISER 100,JE
TOYOTA,LAND CRUISER 200,JE
TOYOTA,LAND CRUISER 80,JE
TOYOTA,LAND CRUISER 90,JE
TOYOTA,MIRAI,D
TOYOTA,MR2,S
TOYOTA,PASEO,C
TOYOTA,PICNIC,M
TOYOTA,PREVIA,C
TOYOTA,PRIUS,C
TOYOTA,PROACE,M
TOYOTA,RAV-4,JC
TOYOTA,RAV4,JC
TOYOTA,SUPRA,S
TOYOTA,URBAN CRUISER,B
TOYOTA,VERSO,C
TOYOTA,YARIS,B
TOYOTA,YARIS VERSO,B
TREBBINER FAHRZEUGBAU,FAHRZEUGBAU,BICI
TREK,DISTRICT+6,BICI
TREK,FX+,BICI
TRIUMPH,CHOPPER,MOTO
TRIUMPH,GT6,MOTO
TRIUMPH,ROCKET III,MOTO
TRIUMPH,SPEED FOUR,MOTO
TRIUMPH,STREET,MOTO
TRIUMPH,THUNDERBIRD,MOTO
TRIUMPH,TIGER 1050,MOTO
UMM,100,M
UMM,121,M
UMM,ALTER,M
UNION,CURB,M
URBAN ARROW,ARROW,BICI
URBAN ARROW,FAMILY,BICI
URBAN ARROW,MAGURA CME,BICI
VANMOOF,S3,BICI
VANMOOF,VANMOOF,BICI
VAZ,110 STAWRA,C
VAZ,111 STAWRA,C
VAZ,112 STAWRA,C
VAZ,214,C
VAZ,215,C
VELORETTI,ACE,BICI
VELORETTI,VELORETTI,BICI
VESPA,PRIMAVERA,MOTO
VESPA,SPRINT,MOTO
VICTORIA,11.4 TREKKING,BICI
VOGUE,JOURNEY,MOTO
VOGUE,MESTENGO,MOTO
VOGUE,PREMIUM,MOTO
VOGUE,VOGUE PREMIUM,MOTO
VOLKSWAGEN,AMAROK,M
VOLKSWAGEN,ARTEON,E
VOLKSWAGEN,BEETLE,B
VOLKSWAGEN,BORA,C
VOLKSWAGEN,CADDY,M
VOLKSWAGEN,CALIFORNIA,M
VOLKSWAGEN,CARAVELLE,M
VOLKSWAGEN,CC,E
VOLKSWAGEN,CORRADO,C
VOLKSWAGEN,CRAFTER,M
VOLKSWAGEN,EOS,B
VOLKSWAGEN,FOX,B
VOLKSWAGEN,GOLF,C
VOLKSWAGEN,ID.3,C
VOLKSWAGEN,ID.4,JC
VOLKSWAGEN,ID.5,JC
VOLKSWAGEN,ID.7,JD
VOLKSWAGEN,JETTA,C
VOLKSWAGEN,KEPLER,M
VOLKSWAGEN,LT,M
VOLKSWAGEN,LUPO,A
VOLKSWAGEN,MULTIVAN,M
VOLKSWAGEN,NEW BEETLE,B
VOLKSWAGEN,PASSAT,D
VOLKSWAGEN,PHAETON,F
VOLKSWAGEN,POLO,B
VOLKSWAGEN,SANTANA,D
VOLKSWAGEN,SCIROCCO,C
VOLKSWAGEN,SHARAN,M
VOLKSWAGEN,T-CROSS,JC
VOLKSWAGEN,T-ROC,JC
VOLKSWAGEN,TAIGO,JC
VOLKSWAGEN,TARO,M
VOLKSWAGEN,TIGUAN,JC
VOLKSWAGEN,TOUAREG,JE
VOLKSWAGEN,TOURAN,M
VOLKSWAGEN,TRANSPORTER,M
VOLKSWAGEN,UP,A
VOLKSWAGEN,VENTO,C
VOLVO,C30,JC
VOLVO,C40,JC
VOLVO,C70,D
VOLVO,EX30,JC
VOLVO,EX40,JC
VOLVO,EX90,JE
VOLVO,S40,C
VOLVO,S60,D
VOLVO,S70,D
VOLVO,S80,D
VOLVO,S90,E
VOLVO,V40,C
VOLVO,V40 CROSS COUNTRY,C
VOLVO,V50,C
VOLVO,V60,D
VOLVO,V70,D
VOLVO,V90,E
VOLVO,XC40,JC
VOLVO,XC60,JD
VOLVO,XC70,JD
VOLVO,XC90,JE
VW PORSCHE,PORSCHE,F
XPENG,G9,MOTO
XPENG,P7,MOTO
YADEA,C1S,MOTO
YAMAHA,FZ6,MOTO
YAMAHA,TRACER,MOTO
YAMAHA,XJ 600 DIVERSION,MOTO
YAMAHA,XJR,MOTO
YAMAHA,XMAX 400,MOTO
YAMAHA,XP,MOTO
YAMAHA,XVS 1300A,MOTO
