variant,country_canonical
AT,Austria
BE,Belgium
CH,Switzerland
DE,Germany
DK,Denmark
ES,Spain
EU,Europe
FR,France
IT,Italy
LU,Luxembourg
NL,Netherlands
NL, The Netherlands
NL, the netherlands
PL,Poland
PT,Portugal
SE,Sweden
