"pais_origen","pais_destino","destino_zip","origen_compound","precio_full_truck_eur","dias_full_truck","precio_passenger_car_eur","precio_suv_eur","precio_lcv1_eur","precio_lcv2_eur","dias_single_cars","tipo_transporte","fuente_archivo"
"Italy","Spain","8902","Bertani Cassino","0","24","1271.14","1755.18","2627.27","4164.64","36","On demand door delivery","ViewDeliveryPriceList (6).xlsx"
"Italy","Spain","8902","Bertani Castiglione","0","24","999.14","1288.18","1933.27","3054.24","36","On demand door delivery","ViewDeliveryPriceList (6).xlsx"
"Italy","Spain","8902","CAT Vercelli","0","24","1074.14","1388.18","2083.27","3294.24","36","On demand door delivery","ViewDeliveryPriceList (6).xlsx"
"Italy","Spain","8902","Center","0","24","1326","1640","2335","3546","41","On demand door delivery","ViewDeliveryPriceList (6).xlsx"
"Italy","Spain","8902","Escargo Aprilia","0","24","1271.14","1755.18","2627.27","4164.64","36","On demand door delivery","ViewDeliveryPriceList (6).xlsx"
"Italy","Spain","8902","Islands","0","24","1619","1933","2628","3839","49","On demand door delivery","ViewDeliveryPriceList (6).xlsx"
"Italy","Spain","8902","North","0","24","1272","1586","2281","3492","41","On demand door delivery","ViewDeliveryPriceList (6).xlsx"
"Italy","Spain","8902","South","0","24","1510","1824","2519","3730","44","On demand door delivery","ViewDeliveryPriceList (6).xlsx"
"Belgium","Spain","8902","ATH Machelen","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
"Belgium","Spain","8902","Belcar Aartselaar","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
"Belgium","Spain","8902","Belcar Aartselaar","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
"Belgium","Spain","8902","Belcar North","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
"Belgium","Spain","8902","Ceva- Ghislenghien","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
"Belgium","Spain","8902","Hödlmayr Logistics Belgium N.V. - St. Truiden","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
"Belgium","Spain","8902","Hödlmayr Logistics Belgium N.V. - Tongeren","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
"Belgium","Spain","8902","Stobart Automotive","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
"Belgium","Spain","8902","VAB GENK","0","22","695","890","1340","2630","20","On demand door delivery","ViewDeliveryPriceList (1).xlsx"
